RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION
1-33294021225;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;.DEBEN SER MUCHO MAS CLAROS EN EL LEVANTAMIENTO DE LA HIPOTECA;CLARIDAD INFORMACION
1680019105559-00;DETRACTOR;Levantamiento De Hipoteca;CLASICO;.que me hagan llegar la escritura en fisico;ENTREGA DOCUMENTOS
1-32222922994;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;*agilizar mas los tramites ,llevo mucho mas de 6 meses;INCONFORMIDAD SERVICIO
1680552630656-25;DETRACTOR;Levantamiento De Hipoteca;CLASICO;DAVIVIENDA ME LO ASIGNO A 100 CUADRAS Y ME FUE MUY MAL LAS EMPRESAS QUE CONTRATAN PARA HACER EL TRAMITE SON DEFICIENTES PORQUE NUNCA ME TERMINARON EL PROCESO Y SI ME LO COBRARON TODO;INCONFORMIDAD SERVICIO
1679434186031-83;DETRACTOR;Levantamiento De Hipoteca;INCLUSION;*no se volvieron a comunicar conmigo;INCONFORMIDAD SERVICIO
1-32409132794;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;*es muy demorado y los tiempos son terribles;INCONFORMIDAD SERVICIO
Ces-1002643268;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Pesimo banco;INCONFORMIDAD SERVICIO
Ces-1014283994;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Cuando llamas para cancelar una tc te transfieren para no dar la baja.;OTRO
Ces-1016010212;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No he recibido la informacion requerida en mi solicitud;FALTA DE RESPUESTA
Ces-1036600634;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Muy mal servicio;INCONFORMIDAD SERVICIO
Ces-3188096004;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Es el momento que no me han enviado el certificado al correo, ni mucho menos llamado al celular y necesito ese documento con urgencia.;INCONFORMIDAD SERVICIO
Ces-3414315;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Todo salio mal con mi nueva tarjeta, sin servicio al cliente un chiste,;OTRO
1683248099177-75;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;Buenas noches, el proceso lo inicie el 4 de mayo, tuve que realizar la solicitud por tres canales diferentes y finalmente acercarme a una oficina para solucionarlo, recibi muchos mensajes de texto diciendo que siguiera los pasos en el correo cuando el mensaje de email llego muchos dias despues. Segui las instrucciones de pago del canal youtube que es muy claro y lo pude hacer y recibi los papeles el 25 de mayo, a esta es la hora que el banco no ha subido la informacion a la plataforma donde aparece ya senalado confecamaras y sin eso no puedo seguir los pasos de venta. Como entenderan un proceso que se ve sencillo y agil y que empece desde el 4 de mayo ha tardado mucho y estoy perdiendo tiempo y dinero para poder vender el auto.;INCONFORMIDAD SERVICIO
1683563045332-85;DETRACTOR;Certificaciones Especiales;CLASICO;Nunca recibi mi paz y salvo en el correo;INCONFORMIDAD SERVICIO
1680533248353-75;DETRACTOR;Certificaciones Especiales;CLASICO;Solicite un paz y salvo de la deuda que tenia con esta entidad bancaria y nunca me llego;INCONFORMIDAD SERVICIO
Ces-79991779;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Comunicarse con el call Center es demasiado demorado, los asesores pasan de un lado a otro y el asesor que te atiende da indicaciones falsas para salir de la llamada;INCONFORMIDAD SERVICIO
Ces-8029709;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;La atencion de la asesora estuvo bien, pero las politicas del banco afectan a quienes no disponen de la cercania de una oficina.;INCONFORMIDAD SERVICIO
1684956215751-05;DETRACTOR;Poderes Leasing;PREMIUM;La atencion en la oficina donde solicite el permiso para instalar los servicios en un apartamento con leasing fue exelente , sin embargo todavia no recibo respuesta acerca de mi solicitud;INCONFORMIDAD SERVICIO
1684506467079-48;DETRACTOR;Certificaciones Especiales;INCLUSION;ME PARECE EL COLMO QUE HAYAN ACEPTADO OTRO DEUDOR DE MI CREDITO DE VIVIENDA DESDE ENERO Y ME SIGAN COBRANDO INTERESES DE MORA Y GASTOS JURIDICOS PROCEDERE A UNA DEMANDA EN LA SUPERFINANCIERA;OTRO
Ces-1130744136;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Quedaron en enviarme el paz y salvo de la tarjeta de credito al siguiente dia y ya han pasado 5 y aun no hay respuesta;ENTREGA DOCUMENTOS
1-35754756458;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Considero que mi solicitud no  fue atendida de manera eficiente pues la persona que me atendio debio de solicitar ayuda a su superior  o a los de atencion al cliente, para solucionar mi peticion,;INCONFORMIDAD SERVICIO
Ces-51931162;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Envio lo que quieren, no lo que se requiere.;INCONFORMIDAD SERVICIO
1683834322047-13;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;AECSA no da respuesta a mi solicitud, llevo 50 dias despues de haber pagado la totalidad de mi obligacion esperando finalizar mi proceso.;OTRO
Ces-71273137;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Quedaron de enviarme el certificado con el numero de mi tarjeta de credito y nunca me llego.;ENTREGA DOCUMENTOS
Ces-79952296;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;No estan de acuerdo con los mensajes de texto que envian ofreciendo descuento;OTRO
1684273238905-09;DETRACTOR;Certificaciones Especiales;CLASICO;No me dieron la informacion completa;CLARIDAD INFORMACION
Ces-1143446035;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;4 veces tuve que agendar el envio de mi tarjeta porque por la ineptitud de su call center, siempre la enviaban a la direccion equivocada.;OTRO
1684427381884-12;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Buenas tardes, deben de mejorar la atencion telefonica, es imposible uno comunicarse con leasing Davivienda, me toco ir a una oficina Par que me resolvieran el problema, el senor que me atendio super formal. Y la senora que me atendio telefonicamente excelente, de mejorar es la atencion inicial;CLARIDAD INFORMACION
1685640321358-80;DETRACTOR;Copia De Documentos Cartera;CLASICO;Necesitaba la copia de las escrituras publicas que pague para el leasing que tengo con ustedes y durante mas de 20 dias intente por todos los medios, linea telefonica, chat y oficina para solicitarlos, fui tres veces a oficina hice 3 veces la solicitud en la oficina y lo unico que me enviaron fue el contrato de leasing que ya tenia, demasiado ineficiente el servicio posventa de Davivienda, como es posible que solo el envio de una copia de un documento que ha tienen en su poder y que yo pague en la notaria no sea posible recibirlo?;INCONFORMIDAD SERVICIO
1683838282485-15;DETRACTOR;Certificaciones Especiales;CLASICO;Pesimo servicio, pesimo banco, solo Bancolombia es peor que ustedes y me alegro de no tener mas un vinculo con ustedes;INCONFORMIDAD SERVICIO
Ces-1070751458;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Para q llaman si no van a solucionar nada al cliente mala atencion deben mejorar mal servicio;INCONFORMIDAD SERVICIO
Ces-1140865622;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;Insatisfecho;INCONFORMIDAD SERVICIO
1-35891843227;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Quiero manifestarles que el poder acceder y saber como era el proceso casi q fue por videos youtube porq la atencion para describir el proceso en sucursales fue muy mala en 2 ocasiones asisti a sucursales para q me explicaran y fue a la carrera y deficiente tuve q resolverlo preguntando a google y youtube;INCONFORMIDAD SERVICIO
Ces-51815474;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Recomiendo que por favor mejoren el servicio ya que los documentos que pedi no me llegaron, voy a averiguar en oficina y me dicen que es en cartera por telefono y alli no me dan informacion;ENTREGA DOCUMENTOS
Ces-52154242;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Quedaron de enviarme una especie de formato con las cuotas que he pagado me dieron un numero de llamada eso fue la semana pasada y a hoy no me han enviado nada.;ENTREGA DOCUMENTOS
Ces-39755696;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;Me parece muy mal que Davivienda sin informar me haya bloqueado la tarjeta y es la hora que  no me la hayan entregado, adicionalmente, dijeron la empresa de envio que no habian encontrado la direccion. Luego la llevaron y no me la dejaron con la mama porque yo no estaba y tampoco volvieron. Adicional mente me siguen cobrando mensualmente, estando bloqueada por ustedes Eso me parece el colmo. Sinceramente creo que pensaban mas en el cliente. Muchas gracias.;OTRO
Ces-53160981;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Me informaron que el plastico de la tarjeta de credito me lo dejaban en Porteria y cuando vinieron no lo dejaron porque el titular no estaba,no he podido hacer el pago y ya se vencio el plazo;OTRO
1684281984337-87;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Esa notaria cobra las copias dela cancelacion de hipoteca y entrega copias sin factura y sin el certificado de libertad entrega fotocopia y cobra y no entregan las devueltas del dinero se quedan callados me toco hacer la reclamacion para que devuelva $20000 que me sobran Delos $568000 y aparte de eso hacen consignar en Davivienda $28000 para tramites de cancelacion de hipoteca esa notaria es de lo mas malo en atencion al publico nadie responde y para devolver los $20000 tengo que tener cuenta en Davivienda y llenar unos requisitos y adjuntar certificado de la cuenta expedido por Davivienda lo cual es con el fin de que los usuarios no reclame sus saldos y la notaria quedarse Conesa plata por que la persona encargada de entregar las cencelacion de hipoteca no dice que me quedaba un saldo $ a mi favor Recomendacion que cada quien haga su cancelacion de hipoteca en la notaria que a bien le convenga y quiera por que lo tienen que hobligar que tiene que ser unicamente en la noy asobancaria taria 29 o si no tienemos que pagar mas dinero si lo queremos hacer en otra notaria que verguenza que tenga que ser donde quiera Davivienda por que lo tienen amarrado solo con la notaria 29 por mi parte no quiero volver hacer prestamo hipotecario con Davivienda y no lo recomiendo cc a presidencia ,central hipotecario super intendencia, personeria;INCONFORMIDAD SERVICIO
Ces-1015429227;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Llevan 1 mes y mas de 7 llamadas de mi parte para la entrega de una tarjeta de credito y no ha sido posible, nadie da respuesta y siempre dicen mentiras. Pesimo servicio!;OTRO
1-36143609079;DETRACTOR;Copia De Documentos Cartera;CLASICO;Nunca llego respuesta en los tiempos que pactaron. Aun sigo esperando el documento solicitado.;ENTREGA DOCUMENTOS
Ces-1143842799;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Llame porque nunca he podido tener un extracto de mi tarjeta y requiero conocer el cupo total disponible, la persona me informo que me iba a enviar a mi correo la informacion y NUNCA LLEGO  Continuo a la espera para tener la informacion.;OTRO
1684255358323-79;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;NO ME LLEGO LA CAMARA DE COMERCIO Y MANANA TENGO LA CITA EN TRANSITO Y SI NO LLEVO ESO NO ME ATIENDEN. ME A TOCADO IR MUCHO A EL BANCO Y NO ME SOLUCIONAN NADA Y YO TENGO DOS HIJOS PEQUENOS NO ME QUEDA TIEMPO DE ESTAR LLENDO A EL BANCO;INCONFORMIDAD SERVICIO
1-35526612007;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;*que se demoraron un ano y me cobraron toda eso pero bueno al final si me dieron solucion despues de un ano;OTRO
1684948919796-97;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;FUI A DOS OFICINAS DAVIVIENDA Y ME DIJERON QUE ERA POR LA LINEA O EL CHAT Y NO FUE POSIBLE COMUNICARME Y ES DEMASIADO ENGORROSO NO HAY QUIEN LE INFORME A UNO  DEBERIAN CAMBIAR EL METODO  SE RESOLVIO POR UNA PERSONA QUE ME AYUDO PERO NO POR LOS CANALES DE DAVIVIENDA  * FACILITEN OTRO MECANISMO PARA PERSONAS QUE SOLICITEN UN LEVANTAMIENTO DE PRENDA O QUE ESTABLEZCAN UNA OFICINA ES DECIR QUE MODIFIQUEN LOS CANALES PARA ESTE SERVICIO;INCONFORMIDAD SERVICIO
1-35587049768;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;.que por lo menos le envien a uno y la persona encargada suba esto a la plataforma;CLARIDAD INFORMACION
1684858840406-69;DETRACTOR;Levantamiento Prenda Vehiculo;INCLUSION;no es claro el proceso es muy engorroso solicitar un documento;CLARIDAD INFORMACION
1684171609169-36;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;.QUE SOLAMENTE NO SEA POR CORREO Y NO HAY QUIEN RESPONDA UN TELEFONO TUVE QUE IR AL   BANCO 3 VECES;INCONFORMIDAD SERVICIO
1-35566006223;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;algo que no me gusto es que fue  algo que me hicieron reestructurar el credito y  sali en las centrales de riesgo;OTRO
1683828912242-34;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;que servicio tan malo los voy a demandar porque yo vendi el carro diciendo que el levantamiento de prenda se hacia en 8 dias como me lo dijo davivienda y se demoro 15 entonces me toco dar una plata de mas  necesito que me llamen para que me devuelvan los 500 mil pesos que me toco pagar de mas y mi nombre es juan guillermo arango soy el codeudor y el que pago la deuda;DEMORA TRAMITE
1682351496342-76;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Tengo una observacion que es esa empresa CIENCUADRAS que ustedes contratan es una empresa con un mal proceso cuando yo lis llame para este proceso les pague y esta gente comienza con un acoso tengo 7 dias despues del pago con ellos para consignar lo del proceso de levantamiento de hipoteca comenzaron un acoso tres correos diarios 5 mensajes de texto y tras eso me llamaban una llamada por la manana y otra por la tarde que hasta en los ultimos dias me toco ya ser grosero con ellos me canse recordandome del pago como si le debiera plata eso con ese proceso con ellos no lo recomiendo ni mi peor enemigo que tristeza pero bueno eso fue gracias;INCONFORMIDAD SERVICIO
Ces-84459196;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Personas del lado del telefono sin experiencia..;INCONFORMIDAD SERVICIO
Ces-91285497;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Durante el proceso abri una cuenta para continuar el proceso y no me atendio mi solicitud;OTRO
1686780631129-54;DETRACTOR;Certificaciones Especiales;CLASICO;Llevo 20 dias solicitando una autorizacion para levantamiento de patrimonio familiar, que me solicito la notaria y todos los que me han radicado el proceso me dicen que llega de 24 a 48 horas a mi correo y 20 dias despues nada y siempre me dicen que tengo que volver a llamar si no me llega, que falta de respeto, para con los clientes y ahora no existen mas canales que procesen ese documento, y ponen al area mas ineficiente a hacer esos procesos;DEMORA TRAMITE
Ces-1032496672;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No han podido aclarar una duda hace un mes y ahora no me envian la informacion solicitada;CLARIDAD INFORMACION
Ces-3153837970;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Deben tener registros del banco donde se vea reflejada la direccion q reposa en mis datos;CLARIDAD INFORMACION
Ces-32476944;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Disculpe, pero pesimo, tengo una tarjeta con uds, q cuando la utilizo dice q mi tarjeta no existe, cancele lo q les debia ymesigue llegando cuantas;OTRO
1681851477124-65;DETRACTOR;Certificaciones Especiales;CLASICO;Hice 5 llamada de mas de 20 minutos me contestaban y me comonicaban con alguien que siempre me dejo con musica .... Iba a unificar unas tarjetas ... y a pesar que tenian mi cel no llamaron a preguntar si se habia hecho mi tramite.;OTRO
1683812072366-76;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Hay personal del Banco que no conoce o desconoce los procesos bancarios y lo hacen a uno dar muchas vueltas y no ayudan a resolver mucho.;CLARIDAD INFORMACION
Ces-52158258;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;He radicado mi solicitud 3 veces y aun no ha sido posible recibir plastico de tarjeta credito. Promesa en la venta no cumplida.;OTRO
Ces-1010177984;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No resuelven nada. Se ponen reclamos y no dan respuesta. No hay solucion.;INCONFORMIDAD SERVICIO
Ces-1020422429;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Cordial saludo  El envio de tarjetas de credito es pesimo, los transportadores no llaman ni mandan mensaje antes de ir al sitio. Solicite en 3 ocasiones que por favor antes de llevarme la tarjeta me llamaran y la respuesta fue: eso depende de la transportadora. Esa respuesta no es apropiada, mi relacion es con Davivienda no con el transportador. Articulen los procesos internos con los transportadores y brinden una experiencia satisfactoria al cliente. Y no respondan que eso depende del transportador. Esta quedando muy mal Davivienda, no el transportador.  Hander Arias cel 3016892696;OTRO
Ces-1128266889;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No he contactado a davivienda el dia de hoy;SIN COMENTARIO
1681769409114-94;DETRACTOR;Certificaciones Especiales;CLASICO;Proximamente me retiro completamente de este banco;INCONFORMIDAD SERVICIO
